class,term,chi2
ACCOUNTANT,accounting,9251.293576011907
ACCOUNTANT,accountant,7911.7198735330585
ACCOUNTANT,financial,4050.768207493508
ACCOUNTANT,accounts,3518.533195944264
ACCOUNTANT,tax,3185.5138820948096
ACCOUNTANT,ledger,3078.620101775933
ACCOUNTANT,entries,2678.7288523968623
ACCOUNTANT,reconciliations,2198.1223028057375
ACCOUNTANT,statements,2116.1456475595205
ACCOUNTANT,journal,1651.6923220195708
ACCOUNTANT,payable,1547.3173936558876
ACCOUNTANT,reconciliation,1459.4145162106079
ACCOUNTANT,monthly,1337.9257102277913
ACCOUNTANT,bank,1282.7544812091319
ACCOUNTANT,balance,1266.079423509997
ADVOCATE,advocate,4100.554031702927
ADVOCATE,violence,648.6150622519592
ADVOCATE,care,611.6766213856919
ADVOCATE,patient,566.969570526158
ADVOCATE,aix,564.5642305543217
ADVOCATE,child,541.8395225777671
ADVOCATE,advocacy,468.925759703139
ADVOCATE,families,432.5687654002903
ADVOCATE,court,418.1006188623701
ADVOCATE,shelter,398.24949585942085
ADVOCATE,victims,373.5008804603116
ADVOCATE,knoxville,370.6480405420617
ADVOCATE,customer,370.28757297476443
ADVOCATE,patients,361.8516323103872
ADVOCATE,case,358.91072536360565
AGRICULTURE,agriculture,4746.599026257543
AGRICULTURE,agricultural,1085.268754951551
AGRICULTURE,extension,796.9330855018588
AGRICULTURE,jamaica,651.9723844928304
AGRICULTURE,ibor,614.8571428571428
AGRICULTURE,insect,614.8571428571428
AGRICULTURE,soil,554.6238097731369
AGRICULTURE,ogunade,499.5714285714285
AGRICULTURE,irrigation,497.1139863853618
AGRICULTURE,land,472.27258933313095
AGRICULTURE,conservation,458.5098247477429
AGRICULTURE,molecular,432.91811282613526
AGRICULTURE,farmers,427.38211700254357
AGRICULTURE,livestock,424.85395645246945
AGRICULTURE,escanaba,422.71428571428567
APPAREL,apparel,2593.509305635971
APPAREL,store,1303.6704538823785
APPAREL,merchandising,1070.7411179727205
APPAREL,fashion,1036.831473182806
APPAREL,color,734.5661951118386
APPAREL,merchandise,557.7365600918065
APPAREL,factories,535.3505500153321
APPAREL,seasonal,489.85970261999705
APPAREL,assortment,480.52987706993883
APPAREL,fabric,475.8398868934761
APPAREL,makeup,378.9400144252156
APPAREL,product,378.6305955844448
APPAREL,sales,374.1691606212673
APPAREL,denim,344.5154639175258
APPAREL,buyer,337.6773620786034
ARTS,arts,2333.6282586741404
ARTS,students,1183.5195400312803
ARTS,art,963.9133004082468
ARTS,dance,874.7328510905511
ARTS,school,831.1127972886262
ARTS,theater,783.5642792881124
ARTS,student,683.383586520679
ARTS,teacher,668.8225014256534
ARTS,language,523.8320850032169
ARTS,reading,507.3652666622502
ARTS,martial,468.7071050811994
ARTS,parents,450.4450597236953
ARTS,middle,441.40769359370097
ARTS,classroom,435.2464980003137
ARTS,grade,422.2099648968714
AUTOMOBILE,tibco,4224.003361344538
AUTOMOBILE,mdm,3947.8458180147063
AUTOMOBILE,cim,1705.657200811359
AUTOMOBILE,datastage,1177.3970588235295
AUTOMOBILE,claims,1161.436751691827
AUTOMOBILE,automobile,841.4953560371517
AUTOMOBILE,claimants,536.029411764706
AUTOMOBILE,etl,531.1779411764707
AUTOMOBILE,insureds,481.77941176470597
AUTOMOBILE,tvs,432.00588235294117
AUTOMOBILE,subrogation,418.17194570135746
AUTOMOBILE,informatica,418.17194570135746
AUTOMOBILE,motorbikes,407.99999999999994
AUTOMOBILE,adjuster,379.29941176470584
AUTOMOBILE,rulebases,339.99999999999994
AVIATION,aviation,8471.976861577608
AVIATION,aircraft,5557.97854549834
AVIATION,flight,2987.813551720777
AVIATION,navy,1536.3266444774363
AVIATION,maintenance,1151.9058127184
AVIATION,naval,877.1845568879788
AVIATION,weapons,681.9600604275932
AVIATION,ammunition,646.6615045950648
AVIATION,avionics,604.1605507683306
AVIATION,repair,598.6503855048953
AVIATION,mechanic,595.6990879842591
AVIATION,aeronautical,590.974486467028
AVIATION,military,569.6930675376504
AVIATION,ordnance,565.2042117578238
AVIATION,safety,545.3863802992618
BANKING,banking,4505.457072631191
BANKING,mortgage,1858.1191619826263
BANKING,loan,1526.5083681783108
BANKING,lending,1085.1609547956218
BANKING,bank,913.5255531827075
BANKING,branch,777.957120771752
BANKING,loans,721.2763725781152
BANKING,teller,669.5976908947783
BANKING,financial,549.7142268495869
BANKING,credit,512.3158382843068
BANKING,banker,511.92363346189666
BANKING,underwriting,499.5005825242718
BANKING,bb,453.2
BANKING,chase,411.0296557811121
BANKING,investment,391.64274063800286
BPO,bpo,2787.736208551806
BPO,noc,896.8761982128352
BPO,bps,820.7883733576814
BPO,dogra,783.3636363636364
BPO,sanjay,783.3636363636364
BPO,fios,713.021756147995
BPO,intraday,683.6942987962484
BPO,tcs,606.1756886492873
BPO,accenture,494.6311203013072
BPO,chennai,470.0413115722621
BPO,refinance,470.0413115722621
BPO,volley,447.6363636363636
BPO,drg,443.6452994608966
BPO,workforce,341.3462252925478
BPO,kirari,335.72727272727275
BUSINESS-DEVELOPMENT,sales,2893.7260876286296
BUSINESS-DEVELOPMENT,business,1827.6861207587497
BUSINESS-DEVELOPMENT,development,926.7108502427355
BUSINESS-DEVELOPMENT,marketing,811.0898116433515
BUSINESS-DEVELOPMENT,territory,704.4906753850124
BUSINESS-DEVELOPMENT,market,522.3890221875971
BUSINESS-DEVELOPMENT,revenue,390.2719003729156
BUSINESS-DEVELOPMENT,quota,364.4305039510178
BUSINESS-DEVELOPMENT,opportunities,334.4448445431472
BUSINESS-DEVELOPMENT,new,314.73576917378597
BUSINESS-DEVELOPMENT,makers,307.0099492385787
BUSINESS-DEVELOPMENT,jensen,295.5
BUSINESS-DEVELOPMENT,martin,289.48535001770745
BUSINESS-DEVELOPMENT,selling,275.4287100627053
BUSINESS-DEVELOPMENT,cold,266.1710903730632
CHEF,food,16488.756702955317
CHEF,chef,13862.805461311125
CHEF,kitchen,9696.76404448437
CHEF,culinary,6299.9451908325
CHEF,menu,4245.624315412656
CHEF,cooking,3491.565948228786
CHEF,menus,3120.7774645269683
CHEF,restaurant,3072.0361047036404
CHEF,sous,2743.593072493819
CHEF,recipes,2702.9076537045717
CHEF,cook,2550.6232857051427
CHEF,catering,2388.5060982973073
CHEF,sanitation,2284.1348622018027
CHEF,dining,2053.130770952449
CHEF,cuisine,1681.2757646525574
CONSTRUCTION,construction,20683.524646578422
CONSTRUCTION,project,2900.0125819144887
CONSTRUCTION,concrete,2659.5688232582097
CONSTRUCTION,site,1382.2874397574453
