term,freq
company name city,9900
name city state,9719
as well as,1451
current company name,1173
university city state,1024
2014 company name,653
college city state,609
2015 company name,574
2013 company name,559
city state usa,534
2012 company name,456
city state responsible,450
high school diploma,393
2011 company name,391
city state managed,368
2010 company name,353
2016 company name,345
2008 company name,342
school city state,333
2009 company name,327
experience company name,320
manager company name,306
high school city,294
2006 company name,285
city state us,283
microsoft office suite,279
2007 company name,273
state university city,256
excellent customer service,248
state united states,243
